ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes,hcardrail_kpi,run_number,date,decision,next_run_id,rows,gate_passes,gate_total,claim_boundary,report_path,trained_models,onnx_parity,best_proxy,candidate_rows,positive_proxy_rows,best_model_id,best_proxy_net,attempt_rows,feature_matrix_rows,runtime_completed_rows,matched_rows,mismatch_rows,positive_net_rows,best_net_profit,best_profit_factor,operating_ready_rows,run_date,primary_artifact,view,tier,metric_scope,net_profit,profit_factor,expectancy,drawdown,recovery_factor,trade_count,candidate_model_id,result_status,expected_probability_rows,long_trade_count,short_trade_count,feature_count,task_seed_rows,eligible_task_rows,trained_model_rows,best_inner_holdout_proxy_net,best_inner_holdout_profit_factor,candidate_model_ids,probe_priority_model,raw_top_model,lane,family,primary_report,balance_control_model,cost_control_model,primary_proxy_net,primary_profit_factor,primary_recovery_factor,sample_rows,attempt_count,source_package_run_id,row_id,scoreboard,evidence_boundary,work_family,evidence_scope,run_key,question,next_action,trade_density_per_feature_day,trade_density_requirement_status,result_judgment,max_drawdown_amount,final_decision_path,created_at,gate_audit_path,expected_estimated_mt5_density,usable_report_rows,artifact_count,created_at_utc,required_gate_audit,kpi_summary,runtime_authority,operating_promotion,trade_density,source_authority,goal_achieve,run_family,run_type,input_run_id,output_path,result_path,selected_net_profit,selected_profit_factor,selected_trade_density,expected_net_profit,expected_profit_factor,expected_trade_count,expected_trade_density,route_attribution_boundary,scaled_density_estimate,max_drawdown_percent,strict_joint_pass_count
frontier07A_stage_open_adverse_excursion_risk_shaped_labeling_v1__stage_open,stage_frontier_07__adverse_excursion_risk_shaped_labeling,frontier07A_stage_open_adverse_excursion_risk_shaped_labeling_v1,frontier07A_stage_open_adverse_excursion_risk_shaped_labeling_v1__stage_open,frontier06C_stage_closeout_v1,stage_open(단계 개방),not_applicable_stage_open(단계 개방에는 해당 없음),"planning_only_no_trading_kpi(계획 전용, 거래 KPI 없음)",stage_open(단계 개방),opened_frontier07_adverse_excursion_risk_shaped_labeling_no_authority,stage_opened_after_grok_review_no_authority,stages/stage_frontier_07__adverse_excursion_risk_shaped_labeling/03_reviews/frontier07A_stage_open_adverse_excursion_risk_shaped_labeling_v1_report.md,grok_recommendation=open_frontier07(전선07 개방),no_model_no_wfo_no_mt5_no_authority(모델/WFO/MT5/권위 없음),"grok_review_captured_no_mt5(그록 검토 기록, MT5 없음)",next=frontier07B_adverse_excursion_risk_label_proxy_scout_v1;no_authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontier07B_adverse_excursion_risk_label_proxy_scout_v1__tier_a_risk_label_model_scout,stage_frontier_07__adverse_excursion_risk_shaped_labeling,frontier07B_adverse_excursion_risk_label_proxy_scout_v1,frontier07B_adverse_excursion_risk_label_proxy_scout_v1__tier_a_risk_label_model_scout,frontier07A_stage_open_adverse_excursion_risk_shaped_labeling_v1,Tier A separate(티어 A 분리),Tier A(티어 A),"risk_label_model_scout_not_runtime(위험 라벨 모델 탐색, 런타임 아님)",risk_label_model_scout(위험 라벨 모델 탐색),risk_shaped_label_preserved_clue_no_authority,preserved_clue(보존 단서),stages/stage_frontier_07__adverse_excursion_risk_shaped_labeling/03_reviews/frontier07B_adverse_excursion_risk_label_proxy_scout_v1_report.md,best=f07b_time_to_adverse_penalty_v2_lt1p05_st1p05_lc0p70_sc0p70_q90__v08_lr_plain;strict=False;preserved=True;oos_pf=1.70687;oos_density=1.36641;oos_dd=13.0888,"argmax_only_no_threshold_no_wfo_no_mt5_no_authority(최대확률 전용, 임계값/WFO/MT5/권위 없음)","out_of_scope_by_claim_no_mt5(주장 범위 밖, MT5 없음)",strict=0;preserved=21;no_authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontier07B_adverse_excursion_risk_label_proxy_scout_v1__tier_b_missing_required,stage_frontier_07__adverse_excursion_risk_shaped_labeling,frontier07B_adverse_excursion_risk_label_proxy_scout_v1,frontier07B_adverse_excursion_risk_label_proxy_scout_v1__tier_b_missing_required,frontier07A_stage_open_adverse_excursion_risk_shaped_labeling_v1,Tier B separate(티어 B 분리),Tier B(티어 B),missing_required(필수 누락),risk_label_model_scout(위험 라벨 모델 탐색),risk_shaped_label_preserved_clue_no_authority,preserved_clue(보존 단서),stages/stage_frontier_07__adverse_excursion_risk_shaped_labeling/03_reviews/frontier07B_adverse_excursion_risk_label_proxy_scout_v1_report.md,"missing_required_no_paired_source(필수 누락, 쌍 원천 없음)","argmax_only_no_threshold_no_wfo_no_mt5_no_authority(최대확률 전용, 임계값/WFO/MT5/권위 없음)","out_of_scope_by_claim_no_mt5(주장 범위 밖, MT5 없음)",Tier B paired materialization not available(티어 B 쌍 물질화 없음),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontier07B_adverse_excursion_risk_label_proxy_scout_v1__tier_ab_combined_missing_required,stage_frontier_07__adverse_excursion_risk_shaped_labeling,frontier07B_adverse_excursion_risk_label_proxy_scout_v1,frontier07B_adverse_excursion_risk_label_proxy_scout_v1__tier_ab_combined_missing_required,frontier07A_stage_open_adverse_excursion_risk_shaped_labeling_v1,Tier A+B combined(티어 A+B 합산),Tier A+B(티어 A+B),missing_required(필수 누락),risk_label_model_scout(위험 라벨 모델 탐색),risk_shaped_label_preserved_clue_no_authority,preserved_clue(보존 단서),stages/stage_frontier_07__adverse_excursion_risk_shaped_labeling/03_reviews/frontier07B_adverse_excursion_risk_label_proxy_scout_v1_report.md,"missing_required_no_combined_claim(필수 누락, 합산 주장 없음)","argmax_only_no_threshold_no_wfo_no_mt5_no_authority(최대확률 전용, 임계값/WFO/MT5/권위 없음)","out_of_scope_by_claim_no_mt5(주장 범위 밖, MT5 없음)",combined record blocked by missing Tier B(티어 B 부재로 합산 기록 차단),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontier07C_class_prior_density_bridge_repair_v1__tier_a_class_prior_repair,stage_frontier_07__adverse_excursion_risk_shaped_labeling,frontier07C_class_prior_density_bridge_repair_v1,frontier07C_class_prior_density_bridge_repair_v1__tier_a_class_prior_repair,frontier07B_adverse_excursion_risk_label_proxy_scout_v1,Tier A separate(티어 A 분리),Tier A(티어 A),"risk_label_repair_not_runtime(위험 라벨 수리, 런타임 아님)",risk_label_repair(위험 라벨 수리),class_prior_density_bridge_preserved_clue_no_authority,preserved_clue(보존 단서),stages/stage_frontier_07__adverse_excursion_risk_shaped_labeling/03_reviews/frontier07C_class_prior_density_bridge_repair_v1_report.md,best=f07b_time_to_adverse_penalty_v1_lt0p90_st0p90_lc0p60_sc0p60_q90__v02_rw01;strict=False;preserved=True;oos_pf=1.17777;oos_density=4.12214;oos_dd=13.1215,"argmax_only_no_threshold_no_wfo_no_mt5_no_authority(최대확률 전용, 임계값/WFO/MT5/권위 없음)","out_of_scope_by_claim_no_mt5(주장 범위 밖, MT5 없음)",strict=0;preserved=16;no_authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontier07C_class_prior_density_bridge_repair_v1__tier_b_missing_required,stage_frontier_07__adverse_excursion_risk_shaped_labeling,frontier07C_class_prior_density_bridge_repair_v1,frontier07C_class_prior_density_bridge_repair_v1__tier_b_missing_required,frontier07B_adverse_excursion_risk_label_proxy_scout_v1,Tier B separate(티어 B 분리),Tier B(티어 B),missing_required(필수 누락),risk_label_repair(위험 라벨 수리),class_prior_density_bridge_preserved_clue_no_authority,preserved_clue(보존 단서),stages/stage_frontier_07__adverse_excursion_risk_shaped_labeling/03_reviews/frontier07C_class_prior_density_bridge_repair_v1_report.md,"missing_required_no_paired_source(필수 누락, 쌍 원천 없음)","argmax_only_no_threshold_no_wfo_no_mt5_no_authority(최대확률 전용, 임계값/WFO/MT5/권위 없음)","out_of_scope_by_claim_no_mt5(주장 범위 밖, MT5 없음)",Tier B paired materialization not available(티어 B 쌍 물질화 없음),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontier07C_class_prior_density_bridge_repair_v1__tier_ab_combined_missing_required,stage_frontier_07__adverse_excursion_risk_shaped_labeling,frontier07C_class_prior_density_bridge_repair_v1,frontier07C_class_prior_density_bridge_repair_v1__tier_ab_combined_missing_required,frontier07B_adverse_excursion_risk_label_proxy_scout_v1,Tier A+B combined(티어 A+B 합산),Tier A+B(티어 A+B),missing_required(필수 누락),risk_label_repair(위험 라벨 수리),class_prior_density_bridge_preserved_clue_no_authority,preserved_clue(보존 단서),stages/stage_frontier_07__adverse_excursion_risk_shaped_labeling/03_reviews/frontier07C_class_prior_density_bridge_repair_v1_report.md,"missing_required_no_combined_claim(필수 누락, 합산 주장 없음)","argmax_only_no_threshold_no_wfo_no_mt5_no_authority(최대확률 전용, 임계값/WFO/MT5/권위 없음)","out_of_scope_by_claim_no_mt5(주장 범위 밖, MT5 없음)",combined record blocked by missing Tier B(티어 B 부재로 합산 기록 차단),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontier07D_stage_closeout_decision_v1__stage_closeout,stage_frontier_07__adverse_excursion_risk_shaped_labeling,frontier07D_stage_closeout_decision_v1,frontier07D_stage_closeout_decision_v1__stage_closeout,frontier07C_class_prior_density_bridge_repair_v1,stage_closeout(단계 마감),stage_level(단계 수준),"closeout_judgment_no_runtime(마감 판정, 런타임 아님)",stage_closeout(단계 마감),closed_preserved_clue_negative_memory_no_authority,preserved_clue_with_negative_memory(보존 단서+부정 기억),stages/stage_frontier_07__adverse_excursion_risk_shaped_labeling/03_reviews/frontier07D_stage_closeout_decision_v1_report.md,strict_scout_clue_rows=0;preserved_clue=yes;negative_memory=yes,no_wfo_no_mt5_no_authority(워크포워드/MT5/권위 없음),"grok_closeout_review_captured_no_mt5(그록 마감 검토 기록, MT5 없음)",close_preserved_clue_negative_memory_no_authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontier07D_stage_closeout_decision_v1__tier_b_missing_required,stage_frontier_07__adverse_excursion_risk_shaped_labeling,frontier07D_stage_closeout_decision_v1,frontier07D_stage_closeout_decision_v1__tier_b_missing_required,frontier07C_class_prior_density_bridge_repair_v1,Tier B separate(티어 B 분리),Tier B(티어 B),missing_required(필수 누락),stage_closeout(단계 마감),closed_preserved_clue_negative_memory_no_authority,preserved_clue_with_negative_memory(보존 단서+부정 기억),stages/stage_frontier_07__adverse_excursion_risk_shaped_labeling/03_reviews/frontier07D_stage_closeout_decision_v1_report.md,"missing_required_no_paired_source(필수 누락, 쌍 원천 없음)",no_wfo_no_mt5_no_authority(워크포워드/MT5/권위 없음),"grok_closeout_review_captured_no_mt5(그록 마감 검토 기록, MT5 없음)",Tier B paired materialization not available(티어 B 쌍 물질화 없음),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontier07D_stage_closeout_decision_v1__tier_ab_combined_missing_required,stage_frontier_07__adverse_excursion_risk_shaped_labeling,frontier07D_stage_closeout_decision_v1,frontier07D_stage_closeout_decision_v1__tier_ab_combined_missing_required,frontier07C_class_prior_density_bridge_repair_v1,Tier A+B combined(티어 A+B 합산),Tier A+B(티어 A+B),missing_required(필수 누락),stage_closeout(단계 마감),closed_preserved_clue_negative_memory_no_authority,preserved_clue_with_negative_memory(보존 단서+부정 기억),stages/stage_frontier_07__adverse_excursion_risk_shaped_labeling/03_reviews/frontier07D_stage_closeout_decision_v1_report.md,"missing_required_no_combined_claim(필수 누락, 합산 주장 없음)",no_wfo_no_mt5_no_authority(워크포워드/MT5/권위 없음),"grok_closeout_review_captured_no_mt5(그록 마감 검토 기록, MT5 없음)",combined record blocked by missing Tier B(티어 B 부재로 합산 기록 차단),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
