run_id,stage_id,lane,status,judgment,path,notes,family,primary_report,run_number,date,decision,parent_run_id,next_run_id,rows,gate_passes,gate_total,claim_boundary,report_path,trained_models,onnx_parity,best_proxy,candidate_rows,positive_proxy_rows,best_model_id,best_proxy_net,attempt_rows,feature_matrix_rows,runtime_completed_rows,matched_rows,mismatch_rows,positive_net_rows,best_net_profit,best_profit_factor,operating_ready_rows,run_date,primary_artifact,candidate_model_id,net_profit,profit_factor,drawdown,recovery_factor,trade_count,result_status,sample_rows,feature_count,expectancy,attempt_count,view,tier,metric_scope,source_package_run_id,scoreboard_lane,external_verification_status,trade_density_per_feature_day,trade_density_requirement_status,result_judgment,final_decision_path,gate_audit_path,created_at,probability_parity_pass_rows,ledger_row_id,subrun_id,record_view,tier_scope,kpi_scope,primary_kpi,guardrail_kpi,model_variants,selected_surfaces,runtime_attempt_rows,work_family,max_drawdown_amount,long_trade_count,short_trade_count,row_id,evidence_boundary,next_action,question
stage267_closeout_onnx_candidate_campaign_handoff_v1,267_adapter_research__baseline_candidate_racing_protocol,stage_closeout,closed_as_reference_evidence_no_selected_candidate,no_candidate_selection_no_onnx_readiness,stages/267_adapter_research__baseline_candidate_racing_protocol/03_reviews/stage267_closeout_onnx_campaign_handoff.md,Stage267 closed as reference evidence source for ONNX-worthy candidate campaign; selected_candidate=none; selected_research_baseline=none; onnx_readiness=not_claimed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage268_onnx_candidate_campaign_lineage_triage_open_v1,268_onnx_candidate_campaign__stage267_lineage_triage,stage_open,opened_lineage_triage_only,planning_open_no_candidate_selection,stages/268_onnx_candidate_campaign__stage267_lineage_triage/00_spec/stage_brief.md,Stage268 opened to triage Stage267 profile lineage before candidate generation; next_action=run268A_build_stage267_profile_lineage_triage_matrix.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run268A_stage267_profile_lineage_triage_v1,268_onnx_candidate_campaign__stage267_lineage_triage,artifact_lineage,completed_lineage_triage_no_candidate_selection,closed_no_candidate_package_stage269_handoff,stages/268_onnx_candidate_campaign__stage267_lineage_triage/03_reviews/stage268_run268A_stage267_profile_lineage_triage_report.md,triage_rows=12;continue_clues=3;failure_memory_only=5;judgment_deferred=4;candidate_package=0;next_stage=269_onnx_candidate_campaign__fresh_thesis_candidate_construction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage269_fresh_thesis_candidate_construction_open_v1,269_onnx_candidate_campaign__fresh_thesis_candidate_construction,stage_open,opened_fresh_thesis_candidate_construction,planning_open_no_candidate_selection,stages/269_onnx_candidate_campaign__fresh_thesis_candidate_construction/00_spec/stage_brief.md,Stage269 opened to design fresh thesis candidate packages from Stage268 lineage triage; next_action=run269A_design_fresh_candidate_package_queue.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run269A_fresh_candidate_package_queue_design_v1,269_onnx_candidate_campaign__fresh_thesis_candidate_construction,experiment_design,completed_design_no_candidate_selection,candidate_package_queue_designed_no_selection,stages/269_onnx_candidate_campaign__fresh_thesis_candidate_construction/03_reviews/run269A_queue_design.md,queue_rows=4;selectable_seed=3;support_control=1;selected_candidate=none;onnx_readiness=not_claimed;next_action=run269B_materialize_candidate_package_blueprints.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run269B_materialized_candidate_package_blueprints_v1,269_onnx_candidate_campaign__fresh_thesis_candidate_construction,experiment_design,completed_blueprint_materialization_no_candidate_selection,materialized_blueprints_no_candidate_selection,stages/269_onnx_candidate_campaign__fresh_thesis_candidate_construction/03_reviews/run269B_report.md,blueprints=4;selectable_blueprints=3;support_control=1;artifact_lineage=connected_with_boundary;selected_candidate=none;onnx_readiness=not_claimed;next_action=run269C_materialize_scoring_handoff_inputs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run269C_materialized_scoring_handoff_inputs_v1,269_onnx_candidate_campaign__fresh_thesis_candidate_construction,stage_pipeline_materialization,completed_scoring_handoff_input_materialization_no_candidate_selection,materialized_scoring_handoff_inputs_no_candidate_selection,stages/269_onnx_candidate_campaign__fresh_thesis_candidate_construction/03_reviews/run269C_report.md,packages=4;selectable_packages=3;support_controls=1;producer=stage_pipelines/stage269/materialize_scoring_handoff_inputs.py;selected_candidate=none;onnx_readiness=not_claimed;next_action=run269D_execute_scoring_materialization_probe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260424_raw_m5_inventory,01_data_foundation__raw_m5_inventory,evidence,reviewed,positive,stages/01_data_foundation__raw_m5_inventory/02_runs/20260424_raw_m5_inventory,12/12 expected raw M5 symbols usable; no manifest mismatch; timezone binding remains open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260424_time_semantics_probe,01_data_foundation__raw_m5_inventory,evidence,reviewed,negative_direct_utc_positive_broker_clock_candidate,stages/01_data_foundation__raw_m5_inventory/02_runs/20260424_time_semantics_probe,direct UTC match ratio 0.0 across 7417 equity symbol-days; broker wall-clock-like ratio 0.929082; closed by dual time-axis policy decision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260424_broker_session_calendar_mapper,01_data_foundation__raw_m5_inventory,evidence,reviewed,positive,stages/01_data_foundation__raw_m5_inventory/02_runs/20260424_broker_session_calendar_mapper,Europe/Athens broker clock to America/New_York session mapper reviewed; full cash session ratio 0.854122; partial sessions explicit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
